iter	MultiClass
0	1.335470351
1	1.283819484
2	1.243226002
3	1.215937809
4	1.178071338
5	1.1382626
6	1.101286195
7	1.068585374
8	1.04971801
9	1.017676709
10	0.9913736377
11	0.967638164
12	0.9441753577
13	0.9231002499
14	0.8990094922
15	0.8810065521
16	0.8622646121
17	0.8492616239
18	0.8355898523
19	0.8162895645
20	0.8026820098
21	0.7895650682
22	0.776701928
23	0.7666028533
24	0.7512796642
25	0.737391757
26	0.7250259255
27	0.7139867311
28	0.7050805152
29	0.6947959423
30	0.6863789754
31	0.6775842684
32	0.6684348099
33	0.6615616666
34	0.6556876167
35	0.6492210753
36	0.6415908513
37	0.6381337747
38	0.6312493994
39	0.6247498341
40	0.6199238155
41	0.6121297407
42	0.6074419644
43	0.6021428417
44	0.5950608146
45	0.5896215576
46	0.5839923673
47	0.5790045971
48	0.5729681785
49	0.5687883613
50	0.5631703807
51	0.5577299596
52	0.5524431857
53	0.5476267449
54	0.5443710525
55	0.539207176
56	0.5352934865
57	0.531947789
58	0.5285322699
59	0.5248272262
60	0.5213001545
61	0.5177369663
62	0.5137937103
63	0.5099711528
64	0.5054499257
65	0.5024473714
66	0.5001734905
67	0.4971004727
68	0.4942272171
69	0.4917179826
70	0.4893430166
71	0.486779199
72	0.4844872572
73	0.4826207116
74	0.4800648041
75	0.4771196361
76	0.4737260021
77	0.4712179866
78	0.4685025368
79	0.4656518303
80	0.4634276347
81	0.4609216321
82	0.4593585742
83	0.4575996462
84	0.4554179081
85	0.4538125678
86	0.4525006727
87	0.4501151928
88	0.4481355784
89	0.4467718134
90	0.4449698879
91	0.4417495765
92	0.4398055246
93	0.4380191044
94	0.4362676218
95	0.4346511173
96	0.4329825872
97	0.431899169
98	0.4303517993
99	0.4291462279
100	0.4267638126
101	0.424590896
102	0.4230669054
103	0.4204489628
104	0.4187971943
105	0.4157786727
106	0.4137889844
107	0.4120550689
108	0.4110078907
109	0.4101114143
110	0.4074590969
111	0.4057668374
112	0.4040154475
113	0.40228947
114	0.4010790694
115	0.399315658
116	0.3976678204
117	0.3950005392
118	0.3934051384
119	0.3912166513
120	0.3893272808
121	0.3878740097
122	0.3856880067
123	0.3840562512
124	0.3824075137
125	0.3810970576
126	0.379688385
127	0.3785409887
128	0.3766686048
129	0.3748061735
130	0.3739818341
131	0.372450773
132	0.3707807816
133	0.3693917232
134	0.3674350494
135	0.3655842044
136	0.3643202557
137	0.3628755818
138	0.3618659132
139	0.360298448
140	0.3592169326
141	0.3575404925
142	0.3563546323
143	0.3546926154
144	0.3530138622
145	0.3524961819
146	0.3519563898
147	0.3509783816
148	0.349856982
149	0.3480888196
150	0.3473703659
151	0.3459777407
152	0.344636175
153	0.3433415341
154	0.3420964428
155	0.3408814774
156	0.3391781876
157	0.3375154371
158	0.336217243
159	0.3353231972
160	0.3339542274
161	0.3333122725
162	0.3325109932
163	0.3310870121
164	0.3297489179
165	0.3290996111
166	0.3287899947
167	0.3278327874
168	0.327184618
169	0.3256871685
170	0.3243813913
171	0.3224555039
172	0.321059416
173	0.3193565964
174	0.3184414893
175	0.3182173385
176	0.3166708191
177	0.3154305569
178	0.3146417545
179	0.3136758702
180	0.312688789
181	0.3113700785
182	0.3102130276
183	0.3091147905
184	0.307458058
185	0.3064736864
186	0.3060024109
187	0.3048217211
188	0.3036136102
189	0.3025984484
190	0.3012217144
191	0.2995707365
192	0.29914188
193	0.2978057161
194	0.2969483995
195	0.2959252861
196	0.2950253679
197	0.2940541473
198	0.2928953484
199	0.2916604338
200	0.2908186471
201	0.2897719681
202	0.2887307697
203	0.2877697449
204	0.2874521547
205	0.2865126272
206	0.2853972336
207	0.2842275832
208	0.2832491768
209	0.2823543804
210	0.2817467043
211	0.2809322937
212	0.2799418657
213	0.2796664073
214	0.2785936484
215	0.2779745178
216	0.2771041197
217	0.2759195804
218	0.2751867171
219	0.2748270816
220	0.2734504284
221	0.2724576893
222	0.2716600535
223	0.2706863496
224	0.2695236366
225	0.2685472431
226	0.2679540525
227	0.2672773959
228	0.2663299272
229	0.2658745172
230	0.2652607189
231	0.2648949182
232	0.2646790848
233	0.2635228611
234	0.2629878755
235	0.2624058751
236	0.261900272
237	0.2608912308
238	0.2603636293
239	0.2599695201
240	0.2594336436
241	0.2589968519
242	0.2576068298
243	0.256883246
244	0.2561837396
245	0.2553581747
246	0.2547137953
247	0.2539007049
248	0.2529286063
249	0.2520039174
250	0.2512475711
251	0.2510830754
252	0.250688218
253	0.2499187181
254	0.2494208531
255	0.2488863102
256	0.2481995315
257	0.2472289309
258	0.2465981706
259	0.2459491692
260	0.2453919958
261	0.2446072163
262	0.2436498799
263	0.2431120291
264	0.2425630831
265	0.2416558683
266	0.2409130042
267	0.2401570147
268	0.2393768719
269	0.2387002296
270	0.2379934924
271	0.2376428263
272	0.2370103279
273	0.236210162
274	0.2352668045
275	0.2350007348
276	0.2349250064
277	0.234372882
278	0.2338982681
279	0.233126282
280	0.2327160827
281	0.2321601652
282	0.2312263321
283	0.2306413201
284	0.230313249
285	0.2298584788
286	0.2291809529
287	0.2284211319
288	0.2277146089
289	0.2270013036
290	0.22660534
291	0.2258867127
292	0.224903786
293	0.224164261
294	0.2236632574
295	0.2226882394
296	0.2224865513
297	0.2218005158
298	0.221092017
299	0.2207689238
